Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.7,25.0,26.4,25.0 - 26.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,18 - 29 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,21.6,19.2,24.1,19.2 - 24.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,30 - 39 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.1,21.7,24.5,21.7 - 24.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,40 - 49 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,25.7,24.2,27.3,24.2 - 27.3,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,50 - 59 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,26.3,24.6,28.1,24.6 - 28.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,60 - 69 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.6,25.9,29.4,25.9 - 29.4,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,70 - 79 years,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,28.7,26.9,30.5,26.9 - 30.5,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,32.1,27.4,37.1,27.4 - 37.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Male,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,23.2,22.2,24.2,22.2 - 24.2,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Sex,United States,Female,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.9,27.0,28.9,27.0 - 28.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,27.4,25.2,29.7,25.2 - 29.7,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,24.3,23.5,25.1,23.5 - 25.1,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",3.1,28,"Apr 14 - Apr 26, 2021",04/14/2021,04/26/2021,30.9,28.6,33.3,28.6 - 33.3,,
